policy_id,customer_id,line,policy_start_date,policy_end_date,insured_amount,premium_status
POL-0105,CUST-012,Hogar,2025-05-10,2026-05-10,40000,al dia
POL-0106,CUST-052,Empresarial,2025-01-01,2026-01-01,120000,pendiente
POL-0107,CUST-007,Salud,2025-09-23,2026-09-23,40000,pendiente
POL-0108,CUST-081,Vida,2026-01-25,2027-01-25,5000,al dia
POL-0109,CUST-035,Empresarial,2025-03-09,2026-03-09,25000,pendiente
POL-0110,CUST-090,Vida,2025-03-04,2026-03-04,5000,al dia
POL-0111,CUST-021,Hogar,2025-10-10,2026-10-10,5000,pendiente
POL-0112,CUST-012,Salud,2025-02-28,2026-02-28,120000,al dia
POL-0113,CUST-083,Salud,2025-09-13,2026-09-13,25000,al dia
POL-0114,CUST-054,Vida,2025-08-30,2026-08-30,18000,pendiente
POL-0115,CUST-071,Salud,2025-07-16,2026-07-16,18000,al dia
POL-0116,CUST-009,Hogar,2026-01-31,2027-01-31,75000,al dia
POL-0117,CUST-065,Hogar,2025-01-02,2026-01-02,25000,al dia
POL-0118,CUST-076,Empresarial,2025-12-04,2026-12-04,120000,al dia
POL-0119,CUST-058,Empresarial,2025-09-05,2026-09-05,40000,al dia
POL-0120,CUST-071,Empresarial,2025-07-13,2026-07-13,120000,al dia
POL-0121,CUST-025,Salud,2025-10-20,2026-10-20,75000,al dia
POL-0122,CUST-053,Vehiculos,2025-06-12,2026-06-12,120000,pendiente
POL-0123,CUST-050,Salud,2025-09-11,2026-09-11,5000,al dia
POL-0124,CUST-065,Empresarial,2025-06-19,2026-06-19,8000,pendiente
POL-0125,CUST-013,Empresarial,2025-08-22,2026-08-22,5000,al dia
POL-0126,CUST-053,Salud,2025-02-08,2026-02-08,120000,al dia
POL-0127,CUST-044,Empresarial,2025-12-21,2026-12-21,75000,al dia
POL-0128,CUST-043,Empresarial,2025-07-14,2026-07-14,40000,pendiente
POL-0129,CUST-070,Vehiculos,2025-11-13,2026-11-13,8000,al dia
POL-0130,CUST-081,Hogar,2025-04-27,2026-04-27,8000,pendiente
